stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name
306,306,Avenida Cesar Chavez / Schoolside,,34.040062,-118.1506,,,,
307,307,Avenida Cesar Chavez / Vancouver,,34.040504,-118.15639,,,,
308,308,Avenida Cesar Chavez / Westcott,,34.040527,-118.15353,,,,
309,309,East LA College,,34.039619,-118.14949,,,,
312,312,Imperial / Aviation,,33.930794,-118.37821,,,,
313,313,Aviation / 104th,,33.94186,-118.37833,,,,
314,314,Aviation / 111th,,33.934162,-118.37833,,,,
317,317,Avalon / 111th,,33.934074,-118.26531,,,,
320,320,Balboa / Citronia,,34.246494,-118.50228,,,,
321,321,Balboa / Roscoe,,34.221485,-118.50251,,,,
322,322,Balboa / Soccer Fields,,34.178452,-118.50101,,,,
323,323,Balboa / Tupper,,34.239658,-118.50235,,,,
324,324,Balboa / San Fernando Mission,,34.271851,-118.50204,,,,
325,325,Burbank / Laurel Canyon,,34.172043,-118.3967,,,,
326,326,Balboa / Burbank,,34.172516,-118.50095,,,,
327,327,Balboa / Chatsworth,,34.265045,-118.50211,,,,
328,328,Balboa / Devonshire,,34.257797,-118.50218,,,,
329,329,Balboa / Hart,,34.197819,-118.50097,,,,
330,330,Balboa / Haynes,,34.18961,-118.50096,,,,
331,331,Balboa / Haynes,,34.189056,-118.50127,,,,
332,332,Balboa / Index,,34.275795,-118.50201,,,,
333,333,Balboa / Lassen,,34.250095,-118.50226,,,,
334,334,Balboa / Lorillard,,34.283955,-118.50194,,,,
336,336,Balboa / Mayall,,34.25415,-118.50222,,,,
337,337,Balboa / Midwood,,34.287434,-118.50191,,,,
338,338,Burbank / Lankershim,,34.172302,-118.37946,,,,
339,339,Balboa / Moorpark,,34.160301,-118.50094,,,,
340,340,Balboa / Parthenia,,34.228771,-118.50244,,,,
341,341,Balboa / Plummer,,34.242809,-118.50231,,,,
342,342,Balboa / Rayen,,34.231995,-118.50241,,,,
344,344,Balboa / San Jose,,34.261417,-118.50215,,,,
345,345,Balboa / Saticoy,,34.208153,-118.50098,,,,
346,346,Balboa / Sherman Way,,34.201447,-118.50098,,,,
347,347,Balboa / Stagg,,34.213303,-118.50098,,,,
348,348,Balboa / Strathern,,34.215816,-118.50098,,,,
349,349,Balboa / Tulsa,,34.268284,-118.50208,,,,
350,350,Balboa / Valerio,,34.204933,-118.50097,,,,
351,351,Balboa / Vanowen,,34.19418,-118.50096,,,,
352,352,Balboa Blvd / Ventura Fwy,,34.170303,-118.50095,,,,
353,353,Balboa / Victory,,34.186359,-118.50095,,,,
354,354,Baldwin / Daines,,34.100372,-118.05088,,,,
355,355,Baldwin / Garibaldi,,34.111591,-118.05314,,,,
356,356,Baldwin / La Rosa,,34.094727,-118.04974,,,,
357,357,Baldwin / Las Tunas,,34.107376,-118.0523,,,,
358,358,Baldwin / Live Oak,,34.104427,-118.0517,,,,
359,359,Baldwin / Olive,,34.099232,-118.05065,,,,
360,360,Baldwin / Camino Real,,34.121941,-118.05525,,,,
361,361,Baldwin / Duarte,,34.12582,-118.05502,,,,
362,362,Baldwin / Lemon,,34.118752,-118.05458,,,,
363,363,Baldwin / Longden,,34.115154,-118.05386,,,,
364,364,Laurel Canyon / Paxton,,34.264744,-118.43824,,,,
369,369,Paramount / Montebello,,34.034622,-118.09101,,,,
370,370,Beach / 9th,,33.865101,-117.99825,,,,
371,371,Beach / 11th,,33.863102,-117.99823,,,,
375,375,Beach / Orangethorpe,,33.859211,-117.99818,,,,
376,376,Wax Museum,,33.85125,-117.99806,,,,
378,378,Harbor Beacon Park and Ride,,33.746895,-118.28047,,,,
383,383,Bellevue / Glendale,,34.07045,-118.26114,,,,
384,384,Bellevue / Laveta,,34.069496,-118.25849,,,,
386,386,Bellflower / Arthurdale,,33.906448,-118.12517,,,,
387,387,San Gabriel / Sierra Bonita,,34.049255,-118.09064,,,,
388,388,Bellflower / Somerset,,33.89687,-118.12515,,,,
389,389,Bellflower / Foster,,33.910034,-118.12518,,,,
390,390,Bellflower / Imperial,,33.916843,-118.12523,,,,
392,392,Bellflower / Jefferson,,33.892868,-118.12513,,,,
393,393,Bellflower / Lakewood,,33.933285,-118.12532,,,,
394,394,Bellflower / Linden,,33.891014,-118.12513,,,,
396,396,Bellflower / Rosecrans,,33.901783,-118.12516,,,,
397,397,Cesar E Chavez / Eastern,,34.040432,-118.17326,,,,
398,398,Bellflower / Stewart and Gray,,33.927628,-118.12525,,,,
399,399,Bellflower / Washburn,,33.924171,-118.12524,,,,
404,404,Beverly / Hobart,,34.076397,-118.30588,,,,
405,405,Van Nuys / Sherman Way,,34.200806,-118.44888,,,,
407,407,Beverly / Belmont,,34.063648,-118.26325,,,,
413,413,Beverly / Alvarado,,34.066696,-118.27001,,,,
415,415,Beverly / Benton,,34.07008,-118.27779,,,,
419,419,Beverly / Hoover,,34.072842,-118.28415,,,,
420,420,Beverly / Kenmore,,34.076443,-118.29639,,,,
421,421,Beverly / La Brea,,34.076313,-118.3438,,,,
422,422,Beverly / Madison,,34.076218,-118.28957,,,,
425,425,Beverly / Normandie,,34.07642,-118.30023,,,,
426,426,Beverly / Park View,,34.068203,-118.27413,,,,
427,427,Beverly / Reno,,34.071491,-118.28105,,,,
428,428,Beverly / Union,,34.064629,-118.26543,,,,
429,429,Beverly / Vermont,,34.076214,-118.29135,,,,
430,430,Van Nuys / Sherman Way,,34.201633,-118.44859,,,,
431,431,Van Nuys / Magnolia,,34.165089,-118.44877,,,,
432,432,Beverly / Vermont,,34.076466,-118.292,,,,
433,433,Beverly / Virgil,,34.075523,-118.28696,,,,
434,434,Beverly / Western,,34.076389,-118.30889,,,,
440,440,Van Nuys / Magnolia,,34.164623,-118.44852,,,,
442,442,Beverly / Western,,34.076134,-118.30939,,,,
450,450,Bledsoe / Foothill,,34.32159,-118.44686,,,,
451,451,Bledsoe / Gladstone,,34.323406,-118.44484,,,,
454,454,7th / Hubbard,,34.302116,-118.43604,,,,
455,455,Borden / Polk,,34.310177,-118.44646,,,,
456,456,Borden / Sayre,,34.304813,-118.43952,,,,
457,457,Cesar E Chavez / Mednik,,34.040733,-118.1622,,,,
459,459,Brand / Magnolia,,34.131081,-118.25475,,,,
460,460,Brand / Maple,,34.13863,-118.25481,,,,
463,463,Brand / Monterey,,34.157726,-118.25491,,,,
464,464,Brand / Laurel Canyon,,34.274616,-118.44919,,,,
465,465,Branford / Beachy,,34.233883,-118.423,,,,
466,466,Branford / Canterbury,,34.231483,-118.42627,,,,
467,467,Branford / Dorrington,,34.228851,-118.42994,,,,
468,468,Van Nuys / Saticoy,,34.208328,-118.44861,,,,
469,469,Cesar E Chavez / Eastern,,34.040688,-118.17393,,,,
470,470,Pacific Coast Highway / Heathercliff,,34.022152,-118.80904,,,,
473,473,Lincoln Park / Altura,,34.075523,-118.2029,,,,
474,474,Lincoln Park / Altura,,34.07555,-118.20262,,,,
475,475,Spring / 1st,,34.052757,-118.24474,,,,
481,481,Temple / Hill,,34.056213,-118.24436,,,,
483,483,Broadway / Washington,,34.031197,-118.26575,,,,
484,484,Broadway / Avenue 22,,34.073429,-118.21792,,,,
485,485,Long Beach / Alondra,,33.88834,-118.2071,,,,
489,489,Fulton / Oxnard,,34.179138,-118.42257,,,,
491,491,Fulton / Hatteras,,34.175934,-118.42258,,,,
493,493,Fulton / Hatteras,,34.176071,-118.42234,,,,
496,496,Buckingham / Hannum,,33.987354,-118.38234,,,,
497,497,Buckingham / Slauson,,33.98875,-118.38048,,,,
498,498,Buckingham / Sumner,,33.9842,-118.38396,,,,
501,501,Raymond / Del Mar,,34.141335,-118.14893,,,,
504,504,Burbank / Woodman,,34.172276,-118.43152,,,,
509,509,Burbank / Bellaire,,34.172279,-118.40971,,,,
510,510,Burbank / Coldwater Canyon,,34.172276,-118.41386,,,,
513,513,Burbank / Ethel,,34.172264,-118.41833,,,,
516,516,Burbank / Hazeltine,,34.172264,-118.4398,,,,
520,520,Burbank / Ranchito,,34.172279,-118.43581,,,,
521,521,Burbank / Fulton,,34.172272,-118.42175,,,,
523,523,Burbank / Sunnyslope,,34.172272,-118.42668,,,,
524,524,Burbank / Tyrone,,34.17226,-118.44466,,,,
525,525,Burbank / Van Nuys,,34.17226,-118.44836,,,,
527,527,Burbank / Whitsett,,34.172279,-118.40553,,,,
533,533,Burton / Foothill,,34.07196,-118.39624,,,,
535,535,Burton / Doheny,,34.071976,-118.3899,,,,
537,537,Burton / La Peer,,34.071991,-118.38689,,,,
538,538,Burton / Palm,,34.071972,-118.3924,,,,
539,539,Burton / Rexford,,34.071938,-118.39855,,,,
546,546,Cahuenga / Franklin,,34.10532,-118.33061,,,,
548,548,Cahuenga / Universal Studios,,34.132332,-118.35303,,,,
549,549,Cahuenga / Wright,,34.119377,-118.3395,,,,
551,551,Cahuenga / Regal Pl,,34.134975,-118.36075,,,,
552,552,Cahuenga / Oakcrest,,34.12645,-118.34537,,,,
553,553,Santa Monica / Crescent,,34.072899,-118.40165,,,,
554,554,Cahuenga / Barham,,34.128666,-118.34731,,,,
555,555,Cahuenga / Barham,,34.128426,-118.34745,,,,
556,556,Cahuenga / Broadlawn,,34.132969,-118.35567,,,,
557,557,Van Nuys / Burbank,,34.172409,-118.44837,,,,
558,558,Cahuenga / Oakshire,,34.13055,-118.35006,,,,
559,559,Van Nuys / G Line (Orange),,34.179974,-118.44848,,,,
560,560,Van Nuys / Victory,,34.186951,-118.44851,,,,
561,561,California / Martin Luther King Jr,,33.936584,-118.20824,,,,
562,562,California / Duane,,33.948681,-118.20673,,,,
563,563,California / Michigan,,33.94162,-118.20769,,,,
565,565,California / Southern,,33.950935,-118.20641,,,,
566,566,California / Tenaya,,33.938969,-118.20798,,,,
567,567,California / Tweedy,,33.944592,-118.20735,,,,
571,571,Verdugo / Calle Vaquero,,34.163902,-118.23296,,,,
572,572,Canada / Verdugo Park,,34.172005,-118.22916,,,,
573,573,Canada / Colina,,34.174274,-118.22879,,,,
574,574,Canada / Del Valle,,34.18404,-118.2289,,,,
575,575,Canada / Glorietta,,34.186943,-118.22893,,,,
576,576,Canada / Hillside,,34.177116,-118.22882,,,,
578,578,Canada / Opechee,,34.180565,-118.22886,,,,
579,579,Canada / Santa Maria,,34.190041,-118.22869,,,,
580,580,Canada / Wabasso,,34.178261,-118.22884,,,,
581,581,Candlewood / Downey,,33.853958,-118.1514,,,,
582,582,Candlewood / Hayter,,33.853889,-118.14592,,,,
583,583,Candlewood / Lakewood,,33.853909,-118.14304,,,,
584,584,Candlewood / Obispo,,33.853951,-118.15492,,,,
585,585,Canoga / Burbank,,34.173161,-118.59728,,,,
586,586,Canoga / Erwin,,34.182999,-118.5976,,,,
587,587,Canoga / Trillium Driveway,,34.18475,-118.59761,,,,
588,588,Ventura / Canoga,,34.168064,-118.59778,,,,
597,597,Bloomfield / Park,,33.867378,-118.06355,,,,
599,599,Ventura / Winnetka,,34.170959,-118.57057,,,,
602,602,Carmenita / Mapledale,,33.898548,-118.04672,,,,
607,607,Carmenita / Rosecrans,,33.90218,-118.04674,,,,
613,613,Cecelia / Atlantic,,33.958309,-118.18423,,,,
615,615,Centinela / Sherbourne,,33.976326,-118.38183,,,,
616,616,Centinela / Braddock,,33.989353,-118.41901,,,,
617,617,Centinela / Edgewood,,33.975842,-118.35459,,,,
618,618,Centinela / Green Valley,,33.976913,-118.38634,,,,
620,620,Centinela / Lucille,,33.983059,-118.4114,,,,
621,621,Centinela / Marina Fwy,,33.985111,-118.4138,,,,
622,622,Centinela / Beach,,33.976921,-118.36702,,,,
623,623,Centinela / Inglewood,,33.976452,-118.36149,,,,
624,624,La Brea / Centinela,,33.976063,-118.35744,,,,
627,627,Central / Jefferson,,34.012257,-118.25635,,,,
629,629,Central / 91 Fwy Westbound Off-Ramp,,33.874256,-118.24854,,,,
630,630,La Brea / Exposition,,34.024899,-118.35527,,,,
631,631,Central / Victoria,,33.867779,-118.24882,,,,
633,633,Central / Mahalo,,33.870815,-118.24854,,,,
636,636,Century / Concourse,,33.945278,-118.37513,,,,
637,637,Century / Inglewood,,33.94532,-118.36099,,,,
639,639,Ventura Pl / Ventura,,34.144295,-118.39428,,,,
641,641,Gridley / 184th,,33.864391,-118.09103,,,,
643,643,Atlantic / Avenida Cesar Chavez,,34.03743,-118.14683,,,,
644,644,Broadway / Thomas,,34.073906,-118.2054,,,,
646,646,Riggin / Atlantic,,34.036957,-118.14612,,,,
648,648,Cesar E Chavez / Mission,,34.054096,-118.22552,,,,
650,650,Cesar E Chavez / Soto,,34.046822,-118.20815,,,,
652,652,Cesar E Chavez / Vignes,,34.056568,-118.23219,,,,
653,653,Hooper / 42nd,,34.006786,-118.25224,,,,
655,655,Alameda / Cesar E Chavez,,34.057819,-118.23727,,,,
656,656,Cesar E Chavez / Alameda,,34.057838,-118.23663,,,,
657,657,Hooper / Vernon,,34.00404,-118.25224,,,,
658,658,Belvedere County Park,,34.040493,-118.15858,,,,
659,659,Cesar E Chavez / Boyle,,34.050949,-118.21738,,,,
661,661,Cesar E Chavez / Dangler,,34.04047,-118.16498,,,,
664,664,Cesar E Chavez / Evergreen,,34.043495,-118.20061,,,,
665,665,Cesar E Chavez / Ford,,34.040451,-118.16885,,,,
666,666,Cesar E Chavez / Fresno,,34.041714,-118.19659,,,,
667,667,Hooper / 48th,,33.999451,-118.25223,,,,
669,669,Cesar E Chavez / Hazard,,34.040409,-118.18002,,,,
670,670,Cesar E Chavez / Humphreys,,34.040443,-118.17154,,,,
671,671,Cesar E Chavez / Indiana,,34.040348,-118.19213,,,,
674,674,Cesar E Chavez / Marianna,,34.040424,-118.17539,,,,
675,675,Cesar E Chavez / McDonnell,,34.040462,-118.16666,,,,
676,676,Mednik / Cesar E Chavez,,34.040741,-118.16199,,,,
677,677,Cesar E Chavez / Mott,,34.045094,-118.20426,,,,
679,679,Cesar E Chavez / Record,,34.040405,-118.18193,,,,
680,680,Cesar E Chavez / New High,,34.058182,-118.2397,,,,
681,681,Cesar E Chavez / Saint Louis,,34.048405,-118.21169,,,,
682,682,Cesar E Chavez / State,,34.050041,-118.21535,,,,
683,683,Cesar E Chavez / Vignes,,34.056828,-118.23214,,,,
684,684,Cesar E Chavez / Warren,,34.052235,-118.22024,,,,
